,Symbol,Date,open,high,low,close,volume,trade_count,vwap
0,SPLV,2022-01-03 05:00:00+00:00,68.57,68.57,67.3401,67.96,13091135.0,25958.0,67.729662
1,SPLV,2022-01-04 05:00:00+00:00,68.0,68.42,67.8888,68.01,4145113.0,18051.0,68.141484
2,SPLV,2022-01-05 05:00:00+00:00,68.04,68.3753,67.62,67.63,7918898.0,29987.0,67.994238
3,SPLV,2022-01-06 05:00:00+00:00,67.66,67.92,67.47,67.53,6382114.0,29772.0,67.653592
4,SPLV,2022-01-07 05:00:00+00:00,67.47,67.755,67.28,67.51,5634748.0,26981.0,67.551981
5,SPLV,2022-01-10 05:00:00+00:00,67.39,67.4152,66.77,67.17,8033462.0,34748.0,67.063504
6,SPLV,2022-01-11 05:00:00+00:00,67.19,67.225,66.47,67.07,7371783.0,28086.0,66.760924
7,SPLV,2022-01-12 05:00:00+00:00,67.08,67.21,66.884,67.14,4954736.0,21622.0,67.068215
8,SPLV,2022-01-13 05:00:00+00:00,67.19,67.31,66.8,66.94,6714727.0,25691.0,67.057914
9,SPLV,2022-01-14 05:00:00+00:00,66.72,66.77,66.18,66.57,6926993.0,28274.0,66.446474
10,SPLV,2022-01-18 05:00:00+00:00,66.2,66.2,65.4,65.93,7541553.0,31006.0,65.821146
11,SPLV,2022-01-19 05:00:00+00:00,66.1,66.42,65.745,65.8,7488512.0,28786.0,66.146894
12,SPLV,2022-01-20 05:00:00+00:00,65.9,66.37,65.23,65.29,7087639.0,28216.0,65.881282
13,SPLV,2022-01-21 05:00:00+00:00,65.55,65.975,65.06,65.11,12229440.0,50970.0,65.475733
14,SPLV,2022-01-24 05:00:00+00:00,64.71,65.07,63.43,64.97,23480697.0,104920.0,64.182995
15,SPLV,2022-01-25 05:00:00+00:00,64.35,64.88,63.61,64.4,11691549.0,56469.0,64.271839
16,SPLV,2022-01-26 05:00:00+00:00,64.52,64.91,63.255,63.65,17185460.0,75002.0,63.931684
17,SPLV,2022-01-27 05:00:00+00:00,64.1,64.72,63.43,63.72,8561446.0,43955.0,63.970627
18,SPLV,2022-01-28 05:00:00+00:00,63.62,64.87,63.12,64.87,9311112.0,43341.0,64.058146
19,SPLV,2022-01-31 05:00:00+00:00,64.52,65.4,64.41,65.35,7285823.0,36088.0,65.007522
